Post_id,Price,Bedroom,Bathroom,Sqft,Latitude,Longitude,Description,Latlng,Postal_code
 6438580775,60.0,,,,43.7223,-79.4504,"
        
This is a Much Better Alternative to Hotel
This $60 Daily Guest Lodging is Available IMMEDIATELY on a Temporary Basis
This is a Vacation Home. It is a Temporary Accommodation and not a permanent home.
This is an awesome Condo
Furnished Room in a shared Awesome Condo
The Room has a Comfortable Queen Mattress Bed that can conveniently sleep two people.
Room has its own Cable TV and Wireless Wi-Fi Internet. 
Building Has Best in Class Amenities
Extra-large Living Room and Spacious Dining
Hardwood Floors in the Entire Suite, except Bedroom
Spacious Corridor Terrace with Awesome View for your Relaxation
Utilities - Water, Gas, Electricity, and Internet are all Inclusive
5 Minutes Walk to Lawrence West Subway Station
Within 1km of Yorkdale Mall (15 Minutes Walk to Yorkdale Mall)
Blocks away from Lawrence Square Mall and Yorkdale Mall
2 Minute by Train to Yorkdale Subway Station and Yorkdale Mall 
2 Minute by Train to Eglinton West Subway Station
3 Minutes by Train to Downsview Subway Station
1 Minute Drive to Allen, which leads to 401
7 Minutes by Train to Brown College
TTC Bus Stop is just in front of the Condo Building (on the spot)
The Condo Features A Concierge, Gym, Steam Room, Hot Tub, Outdoor Swimming Pool And Party Room.
Complete Kitchen Appliances with Fridge, stove and dishwasher 
Tucked Away Washer/Dryer for Laundry
This listing is governed by the Innkeepers Act
24 Hour Security and Concierge
Very Safe Neighbourhood!

ABOUT YOU
CLEAN, Quiet, Responsible, and TIDY 
Sorry, No Smokers, No Pets. 

MINIMUM OF 7 DAYS REQUIRED for the daily rate of $60. 
If there are two persons, extra $15 daily is required for the second person.
Check in is from 2:00 pm, but can be flexible. Check out is 10:00 am.

The rate is as follows for one person only: 

	7 Days and above = $60 / Day 
	4 to 6 Days = $65 / Day
	2 to 3 Days = $70 / Day
	Monthly = $1,650
		
This rate is firm and non-negotiable. There is additional $70 for cleaning. 
SERIOUS INQUIRIES ONLY: by Email or phone  
.
Phone: Six Four Seven - 893 - Eight Four Two Five
    ","43.7223,-79.4504",M6A 2R2
 6438512782,2200.0,2.0,2.0,,43.646788,-79.392628,"
        
I'm leasing my new luxury two bedroom plus den, two bathroom condo at Menkes building (87 Peter St, Adelaide and Peter). It's a spacious condo (1097 square feet with 265 square feet balcony) located on 38th floor. All utilities are included (hydro, water, heat, AC) and also included is one parking spot and one storage locker.

Available for February 1st
$2200 per month.

Hardwood flooring throughout the condo, granite countertops, stainless steel appliances (stove, fridge, microwave, dishwasher). In suite washer and dryer. Blinds are also included on all windows. 

Amenities include Art Gallery, Barbeques, 24 Hour Diner, Car Share, 24 Hour Concierge/Security, Courtyard, Gym, Yoga Room, Pool Room, Guest Suites, Garden, Hot Tub, Sauna, Library, Lounge, Park, Party Room, Outdoor Pool, Indoor Pool.

One year lease minimum but I'd be also open to two year lease. Employment verification and a reference is required to lease.

If you have any questions feel free to ask and I'll be happy to answer them. Please text me for a faster response.  
    ","43.646788,-79.392628",M5V 2G5
 6438568722,3100.0,2.0,2.0,870.0,43.661663,-79.386241,"
        
THE BURANO LUXURY CONDO! 832 BAY STREET SPECTACULAR NEW BUILDING ON BAY / COLLEGE! 2 BEDROOMS PLUS DEN, 2 WASHROOMS, PARKING, LOCKER AND BALCONY.

Very Bright Practical Layout, Modern Gourmet Kitchen, Laminate Floor and Balcony on a high floor with stunning views! Amazing Amenities: 24Hr Concierge, Visitor Parking, Fitness Centre, Swimming Pool, Sauna, Party/Meeting Room, Rooftop Deck/Garden, Security System. Walk Score 99. Very convenient and great location! 

One Parking and One Locker included in rent. Utilities: heat, water and CAC included in rent.

Fridge, Stove, B/I Dishwasher, Range Hood, Washer, Dryer, Microwave, All Existing Electric Light Fixtures, Window Coverings.

PRIME LOCATION IN THE HEART OF DOWNTOWN TORONTO ON BAY STREET CLOSE TO THE INTERSECTION OF BAY STREET AND COLLEGE STREET. VERY SPACIOUS, BRIGHT, GREAT VIEWS, 

POSSESSION: IMMEDIATE

EXCELLENT DOWNTOWN LIVING, STEPS AWAY FROM SUBWAY, TTC, HOSPITALS, CLINICS, SHOPPING, ENTERTAINMENT, UNIVERSITIES, SCHOOLS, EATON CENTRE.

City centre Live and Work lifestyle, next to all local amenities, Park, Entertainment, Restaurants and Shopping!

We Specialize in CONDO Sale, Purchase, Assignment, Lease and Property Management.

Whether you are looking for 1, 1+1, 2, 2+1 or 3 Bed Condo, we have an excellent selection of units on SALE and LEASE in Down Town Toronto and can get you the best deal!

We do not charge commission to Buyers or Tenants.

Our Offices are located at Downtown Toronto and we can arrange a viewing at short notice.

Call us in full confidence for a professional service today!

Contact : Narayan
T.O. Condos Realty Inc.
Cell:  

    ","43.661663,-79.386241",M5G
 6438569284,3200.0,2.0,2.0,,43.64366,-79.403931,"
        
Tens of thousands spent in upgrades to this loft in the heart of king west.
2 large bedrooms and 2 renovated bathrooms in this almost 1000 sq ft of living space
chefs own kitchen with huge stainless steel island.
1 parking spot included
1 locker included
Some furniture available for sale as well.  Custom made for the space.
$3200 / month
Credit report, employment verification, pay stubs, and rental application required.
AAA TENANTS ONLY
    ","43.64366,-79.403931",M5V
 6438563827,2300.0,1.0,0.0,,43.643899,-79.399866,"
        
Upscale Condo 1 Bedr, 66 Portland St, Move in: ImmediateLease Term: 1 YearDen: 0 , Furnished: N , Parking space: 0,  Pets Permitted: R, Sqft: 500-599Stunning Renovated Loft In The Heart Of King West. 557 Sq.Ft +102 Sq. Ft Balcony. 10Ft. Exposed Concrete Ceilings, Lots Of Natural Light From The Floor To Ceiling Windows Over Looking King West. Scavolini Kitchen With Custom Island & Caesarstone Counters. Large Bedroom With Large Closet & Built-In Organizers. Spacious Bathroom With Walk-In Shower. Steps To Cafes, Restaurants, Shopping, Gyms, Parks, Ttc. - C4010313For more information please call Karen:  
 x007,17:41:19Upscale Condo 1 Bedr, 66 Portland St, Move in: Immediate
    ","43.643899,-79.399866",M5V 2M6
 6438565264,2200.0,1.0,1.0,,43.649167,-79.377989,"
        
Luxury suite at one king west.

Full one bedroom with soaring views.of the city.

Live at Toronto most prestigious address - in the heart if everything.

Walking.distance to all amenities 

Subway hospitals financial district waterfront - be at the best of it all! 

Unfurnished for $2200

Available furnished for $2400 / month

Hydro included in rent.

AAA TENANTS ONLY
    ","43.649167,-79.377989",M5H 1B6
 6405580073,1950.0,1.0,1.0,,43.641879,-79.378183,"
        
Brand New Never Lived In 1 Bedroom At The Prestigious Harbour Plaza * This Bright South Facing Unit Features A Large Kitchen Island/Breakfast Bar & Built In Appliances, Master Bedroom Comes With A Walk-In Closet & Includes A Large Sized Bathroom * Amazing Location & Close To Tons Of Amenities Including Underground Path, Acc, Union Station, Ttc, Go, Gardiner Expressway, Financial District & Harbourfront Centre *    ","43.641879,-79.378183",M5J 1B7
 6413336883,2800.0,2.0,2.0,850.0,43.70688,-79.395769,"
        
Located Within Steps To Yonge & Eglinton In This Newly Constructed 833Sf 2 Bedroom Suite With 100Sf Balcony Great For Entertaining. Highlights Include Stainless Steel Appliances, Glass Tile Backsplash, Caesarstone Counter-Tops, Wood Floors, Upgraded Smooth Ceiling And Walk-In Closets In Both Bedrooms. Loblaws And Lcbo Located Within The Building. Amenities Include; Concierge, 2 Level Gym W/ Yoga Facility, Indoor Pool, Sauna & Hot Tub.    ","43.70688,-79.395769",M4P 3A4
 6413359662,2400.0,1.0,1.0,,43.669951,-79.386177,"
        
Welcome To The Most Iconic Address In Downtown Toronto, By Great Gulf Homes & Hariri Pontarini Architects!Beautiful Large 1 Bed In The Heart Of Toronto& A Panaromic View To Go With It.Direct Ttc Subway Access, Upscale Restaurants, Designer Boutiques, Platinum Finishing Package,Owner Spent$$upgraded To Best Lighting, Blinds, Floor, Backsplash 27,000Sqft Of Simone Resort Inspiredamenities.Terrace, Spa,Huge Indoor/Outdoor Pool, Plunge Baths, Wont Last, Must See!    ","43.669951,-79.386177",M4W 1A9
 6413417341,2750.0,2.0,2.0,,43.643164,-79.38159,"
        
Luxury 2 Bedroom + Study In Ice Condo Phase One. Corner Unit And One Parking And One Locker. In The Water Front Community. Walking Distance To Ttc, Rogers Centre, Cn Tower, Banks, Grocery, Water Front. Gorgeous Lake-View. Very Bright Panoramic Glass Windows.    ","43.643164,-79.38159",M5J
